"Mozambique","Mozambique","Mozambique"
"Mauritania","Mauritania","Mauritanie"
"Montserrat","Montserrat","Montserrat"
"Martinique","Martinica","Martinique"
"Mauritius","Mauricio","Maurice"
"Malawi","Malawi","Malawi"
"Malaysia","Malasia","Malaisie"
"Namibia","Namibia","Namibie"
"New Caledonia","Nueva Caledonia","Nouvelle-Calédonie"
"Niger","Níger","Niger"
"Norfolk Island","Isla Norfolk","Île Norfolk"
"Nigeria","Nigeria","Nigéria"
"Nicaragua","Nicaragua","Nicaragua"
"Niue","Niue","Nioué"
"Netherlands","Países Bajos","Pays-Bas"
"Norway","Noruega","Norvège"
"Nepal","Nepal","Népal"
"Nauru","Nauru","Nauru"
"New Zealand","Nueva Zelandia","Nouvelle-Zélande"
"Oman","Omán","Oman"
"Pakistan","Pakistán","Pakistan"
"Panama","Panamá","Panama"
"Pitcairn Islands","Islas Pitcairn","Îles Pitcairn"
"Peru","Perú","Pérou"
"Philippines","Filipinas","Philippines"
"Palau","Palau","Palaos"
"Papua New Guinea","Papua Nueva Guinea","Papouasie-Nouvelle-Guinée"
"Poland","Polonia","Pologne"
"Puerto Rico","Puerto Rico","Porto Rico"
"Korea","Corea","Corée"
"Portugal","Portugal","Portugal"
"Paraguay","Paraguay","Paraguay"
"Palestine","Palestina","Palestine"
"French Polynesia","Polinesia Francesa","Polynésie française"
"Qatar","Qatar","Qatar"
"Romania","Reunión","Réunion"
"Réunion","Rumania","Roumanie"
"Russia","Rusia","Fédération de Russie"
"Rwanda","Rwanda","Rwanda"
"Western Sahara","Sahara Occidental","Sahara occidental"
"Saudi Arabia","Arabia Saudita","Arabie saoudite"
"Sudan","Sudán","Soudan"
"Senegal","Senegal","Sénégal"
"Singapore","Singapur","Singapour"
"South Georgia and South Sandwich Islands","Islas Georgias del Sur y Sandwich del Sur","Géorgie du Sud-et-les Îles Sandwich du Sud"
"Saint Helena, Ascension and Tristan da Cunha","Santa Elena, Ascension y Tristan da Cunha","Sainte-Hélène, Ascension et Tristan de Cunha"
"Solomon Islands","Islas Salomón","Îles Salomon"
"Sierra Leone","Sierra Leona","Sierra Leone"
"El Salvador","El Salvador","El Salvador"
"San Marino","San Marino","Saint-Marin"
"Somaliland","Somalilandia","Somaliland"
"Somalia","Somalia","Somalie"
"Saint Pierre and Miquelon","Saint-Pierre y Miquelon","Saint-Pierre-et-Miquelon"
"Serbia","Serbia","Serbie"
"South Sudan","Sudán del Sur","Soudan du Sud"
"Sao Tome and Principe","Santo Tomé y Príncipe","Sao Tomé-et-Principe"
"Suriname","Suriname","Suriname"
"Slovakia","Eslovaquia","Slovaquie"
"Slovenia","Eslovenia","Slovénie"
"Sweden","Suecia","Suède"
"Swaziland","Swazilandia","Swaziland"
"Sint Maarten","Sint Maarten","Sint Maarten"
"Seychelles","Seychelles","Seychelles"
"Syrian Arab Republic","Siria","République arabe syrienne"
"Turks and Caicos Islands","Islas Turcas y Caicos","Îles Turques et Caïques"
"Chad","Chad","Tchad"
"Togo","Togo","Togo"
"Thailand","Tailandia","Thaïlande"
"Tajikistan","Tayikistán","Tadjikistan"
"Tokelau","Tokelau","Tokélaou"
"Turkmenistan","Turkmenistán","Turkménistan"
"Timor-Leste","Timor-Leste","Timor-Leste"
"Tonga","Tonga","Tonga"
"Trinidad and Tobago","Trinidad y Tabago","Trinité-et-Tobago"
"Tunisia","Túnez","Tunisie"
"Turkey","Turquía","Turquie"
"Tuvalu","Tuvalu","Tuvalu"
"United Republic of Tanzania","Tanzanía","République-Unie de Tanzanie"
"Uganda","Uganda","Ouganda"
"Ukraine","Ucrania","Ukraine"
"Uruguay","Uruguay","Uruguay"
"United States of America","Estados Unidos de América","États-Unis d'Amérique"
"Uzbekistan","Uzbekistán","Ouzbékistan"
"Holy See","Santa Sede","Saint-Siège"
"Saint Vincent and the Grenadines","San Vicente y las Granadinas","Saint-Vincent-et-les Grenadines"
"Venezuela","Venezuela","Venezuela"
"British Virgin Islands","Islas Vírgenes","Îles Vierges britanniques"
"United States Virgin Islands","Islas Vírgenes de los Estados Unidos","Îles Vierges des États-Unis"
"Viet Nam","Viet Nam","Viet Nam"
"Vanuatu","Vanuatu","Vanuatu"
"Wallis and Futuna Islands","Islas Wallis y Futuna","Îles Wallis et Futuna"
"Samoa","Samoa","Samoa"
"Yemen","el Yemen","Yémen"
"South Africa","Sudáfrica","Afrique du Sud"
"Zambia","Zambia","Zambie"
"Zimbabwe","Zimbabwe","Zimbabwe"
"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius y Saba","Bonaire, Sint Eustatius et Saba"
"Global","Global","Global"
"Africa","África","Afrique"
"Americas","América","Amerique"
"Europe","Europa","Europe"
"Oceania","Oceanía","Oceanie"
"Asia","Asia","Asia"
